date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2016-06-24,35.18592,23.27069,15.43382,26.34946,9.55617
2016-06-25,33.2267,23.75049,15.55377,25.54978,8.91643
2016-06-26,36.9852,26.30947,17.15313,27.38904,11.07556
2016-06-27,37.26509,24.39024,14.51419,25.26989,11.07556
2016-06-28,37.18512,23.2307,14.19432,24.99,12.2351
2016-06-29,35.54578,18.47261,13.55457,26.50939,13.59456
2016-06-30,39.26429,19.27229,14.55417,26.90923,11.79528
2016-07-01,30.42782,20.51179,15.03398,27.2291,8.07676
2016-07-02,32.86685,21.19152,16.47341,27.54898,8.87644
2016-07-03,34.94602,20.39184,18.19272,28.02878,9.79608
2016-07-04,35.38584,20.31187,16.19352,26.94922,9.2363
2016-07-05,37.14514,22.55097,16.35345,28.66853,8.63654
2016-07-06,34.54618,21.11155,16.2335,28.10875,11.71531
2016-07-07,36.10555,20.79168,14.03438,26.46941,12.55497
2016-07-08,34.26629,17.87285,14.31427,25.66973,14.43422
2016-07-09,30.54778,17.03318,15.11395,23.87045,12.55497
2016-07-10,35.62574,18.95241,14.43422,24.35025,13.55457
2016-07-11,36.14554,17.83286,13.43462,25.94962,15.31387
2016-07-12,37.14514,18.55257,14.75409,25.7497,13.9944
2016-07-13,37.2251,19.91203,13.19472,26.94922,14.15433
2016-07-14,36.66533,18.75249,14.47421,24.2303,15.79368
2016-07-15,33.70651,18.51259,13.47461,24.43022,11.9952
2016-07-16,31.18752,20.11195,15.87365,27.2291,7.03718
2016-07-17,33.66653,17.55297,15.07397,24.63014,8.39664
2016-07-18,34.50619,19.03238,13.2347,22.43102,12.03518
2016-07-19,65.53378,21.11155,15.67373,27.14914,11.9952
2016-07-20,50.41983,19.59216,14.11435,25.02998,14.71411
2016-07-21,47.30107,19.07237,15.2339,26.94922,13.55457
2016-07-22,45.18192,19.83206,14.35425,26.14954,12.9948
2016-07-23,60.09596,17.79288,14.95401,24.91003,11.75529
2016-07-24,45.86165,17.39304,14.43422,25.86965,11.91523
2016-07-25,63.29468,19.47221,14.47421,23.51059,12.91483
2016-07-26,50.29988,17.75289,14.43422,26.38944,12.87485
2016-07-27,39.18432,20.27189,13.03478,24.95001,11.75529
2016-07-28,37.38504,19.2323,13.59456,28.34866,12.51499
2016-07-29,35.42582,16.51339,14.27429,25.94962,10.67572
2016-07-30,32.9868,17.67293,13.75449,23.71051,9.4762
2016-07-31,31.62734,17.67293,14.79408,23.79048,10.59576
2016-08-01,32.58696,19.83206,15.55377,25.06997,12.11515
2016-08-02,35.70571,20.91163,15.83366,26.70931,11.2355
